,act_symbol,sector
364,BIOL,DENTAL EQUIPMENT &amp; SUPPLIES
365,BIP,WATER TRANSPORTATION
366,BJRI,RETAIL-EATING PLACES
367,BK,STATE COMMERCIAL BANKS
368,BKCC,Unknown
369,BKD,SERVICES-NURSING &amp; PERSONAL CARE FACILITIES
370,BKE,RETAIL-FAMILY CLOTHING STORES
371,BKEP,PIPE LINES (NO NATURAL GAS)
372,BKH,ELECTRIC SERVICES
373,BKK,Unknown
374,BKN,Unknown
375,BKNG,TRANSPORTATION SERVICES
376,BKSC,STATE COMMERCIAL BANKS
377,BKT,Unknown
378,BKYI,SERVICES-PREPACKAGED SOFTWARE
379,BLDP,ELECTRICAL INDUSTRIAL APPARATUS
380,BLDR,RETAIL-LUMBER &amp; OTHER BUILDING MATERIALS DEALERS
381,BLE,Unknown
382,BLFS,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
383,BLIN,SERVICES-PREPACKAGED SOFTWARE
384,BLK,"SECURITY BROKERS, DEALERS &amp; FLOTATION COMPANIES"
385,BLKB,SERVICES-PREPACKAGED SOFTWARE
386,BLL,Unknown
387,BLNK,MISCELLANEOUS TRANSPORTATION EQUIPMENT
388,BLU,PHARMACEUTICAL PREPARATIONS
389,BLW,Unknown
390,BLX,"COMMERCIAL BANKS, NEC"
391,BMA,"COMMERCIAL BANKS, NEC"
392,BME,Unknown
393,BMI,TOTALIZING FLUID METERS &amp; COUNTING DEVICES
394,BMO,"COMMERCIAL BANKS, NEC"
395,BMRA,IN VITRO &amp; IN VIVO DIAGNOSTIC SUBSTANCES
396,BMRC,STATE COMMERCIAL BANKS
397,BMRN,PHARMACEUTICAL PREPARATIONS
398,BMTC,Unknown
399,BMY,PHARMACEUTICAL PREPARATIONS
400,BNS,STATE COMMERCIAL BANKS
401,BNSO,"ELECTRONIC COMPONENTS, NEC"
402,BNY,Unknown
403,BOCH,Unknown
404,BOE,Unknown
405,BOH,STATE COMMERCIAL BANKS
406,BOKF,NATIONAL COMMERCIAL BANKS
407,BOOM,MISCELLANEOUS PRIMARY METAL PRODUCTS
408,BOSC,COMPUTER COMMUNICATIONS EQUIPMENT
409,BOTJ,STATE COMMERCIAL BANKS
410,BP,PETROLEUM REFINING
411,BPFH,Unknown
412,BPOP,STATE COMMERCIAL BANKS
413,BPT,PETROLEUM REFINING
414,BR,"SERVICES-BUSINESS SERVICES, NEC"
415,BRC,MISCELLANEOUS MANUFACTURING INDUSTRIES
416,BRFS,MEAT PACKING PLANTS
417,BRID,"SAUSAGE, OTHER PREPARED MEAT PRODUCTS"
418,BRK.A,Unknown
419,BRK.B,Unknown
420,BRKL,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
421,BRKR,LABORATORY ANALYTICAL INSTRUMENTS
422,BRN,CRUDE PETROLEUM &amp; NATURAL GAS
423,BRO,INSURANCE AGENTS BROKERS &amp; SERVICES
424,BRTX,"SERVICES-MISC HEALTH &amp; ALLIED SERVICES, NEC"
425,BRW,Unknown
426,BSAC,"COMMERCIAL BANKS, NEC"
427,BSBR,"COMMERCIAL BANKS, NEC"
428,BSD,Unknown
429,BSE,Unknown
430,BSET,"WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)"
431,BSL,Unknown
432,BSQR,"SERVICES-BUSINESS SERVICES, NEC"
433,BSRR,STATE COMMERCIAL BANKS
434,BSTC,Unknown
435,BSX,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
436,BTA,Unknown
437,BTE,Unknown
438,BTG,GOLD &amp; SILVER ORES
439,BTI,CIGARETTES
440,BTN,PHOTOGRAPHIC EQUIPMENT &amp; SUPPLIES
441,BTO,Unknown
442,BTX,PHARMACEUTICAL PREPARATIONS
443,BTZ,Unknown
444,BUD,MALT BEVERAGES
445,BUSE,STATE COMMERCIAL BANKS
446,BVH,REAL ESTATE
447,BVN,METAL MINING
448,BWA,MOTOR VEHICLE PARTS &amp; ACCESSORIES
449,BWEN,NONFERROUS FOUNDRIES (CASTINGS)
450,BWL.A,Unknown
451,BWXT,ENGINES &amp; TURBINES
452,BXC,"WHOLESALE-LUMBER, PLYWOOD, MILLWORK &amp; WOOD PANELS"
453,BXMT,REAL ESTATE INVESTMENT TRUSTS
454,BXMX,Unknown
455,BXP,REAL ESTATE INVESTMENT TRUSTS
456,BYD,HOTELS &amp; MOTELS
457,BYFC,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
458,BYM,Unknown
459,BYRN,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
460,BZH,OPERATIVE BUILDERS
461,BZM,Unknown
462,C,NATIONAL COMMERCIAL BANKS
463,CAAS,MOTOR VEHICLE PARTS &amp; ACCESSORIES
464,CAC,NATIONAL COMMERCIAL BANKS
465,CACC,PERSONAL CREDIT INSTITUTIONS
466,CACI,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
467,CAE,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
468,CAF,Unknown
469,CAG,FOOD &amp; KINDRED PRODUCTS
470,CAH,WHOLESALE-DRUGS PROPRIETARIES &amp; DRUGGISTS&#39; SUNDRIES
471,CAI,Unknown
472,CAJ,PHOTOGRAPHIC EQUIPMENT &amp; SUPPLIES
473,CAKE,RETAIL-EATING PLACES
474,CAL,"FOOTWEAR, (NO RUBBER)"
475,CALM,AGRICULTURE PRODUCTION - LIVESTOCK &amp; ANIMAL SPECIALTIES
476,CALX,"COMMUNICATION SERVICES, NEC"
477,CAMP,RADIO &amp; TV BROADCASTING &amp; COMMUNICATIONS EQUIPMENT
478,CAMT,OPTICAL INSTRUMENTS &amp; LENSES
479,CAPR,PHARMACEUTICAL PREPARATIONS
480,CAR,SERVICES-AUTO RENTAL &amp; LEASING (NO DRIVERS)
481,CARV,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
482,CASH,NATIONAL COMMERCIAL BANKS
483,CASI,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
484,CASS,"SERVICES-BUSINESS SERVICES, NEC"
485,CASY,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
486,CAT,CONSTRUCTION MACHINERY &amp; EQUIP
487,CATM,Unknown
488,CATO,RETAIL-WOMEN&#39;S CLOTHING STORES
489,CATY,STATE COMMERCIAL BANKS
490,CB,"FIRE, MARINE &amp; CASUALTY INSURANCE"
491,CBAN,STATE COMMERCIAL BANKS
492,CBAT,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
493,CBB,Unknown
494,CBFV,STATE COMMERCIAL BANKS
495,CBIO,PHARMACEUTICAL PREPARATIONS
496,CBMG,Unknown
497,CBOE,"SECURITY &amp; COMMODITY BROKERS, DEALERS, EXCHANGES &amp; SERVICES"
498,CBPO,Unknown
499,CBRE,REAL ESTATE
